Edad;Exp_publico;Exp_privado;Exp_prof;Estudios;Bachiller;Titulado;Maestria1;Maestria2;Cargo_partidario;Eleccion_Popular;Delito_doloso;Demandas;Ingresos;Avance
68;4;0;4;1;1;1;0;0;0;1;0;1;21600;80.81
40;0;9;9;1;1;1;0;0;1;0;1;1;15000;83.17
57;0;4;4;1;0;1;0;1;0;0;0;0;80376;92.23
47;4;0;4;1;1;1;0;1;0;1;1;0;45000;80.49
51;10;0;10;1;1;1;0;0;1;1;0;0;223053.41;83.78
57;6;5;11;1;1;1;1;0;1;1;0;0;73010;87.05
51;0;0;0;1;1;1;1;0;0;0;0;0;117400;85.16
53;5;0;5;1;0;1;0;0;1;1;0;0;0;89.06
61;0;0;0;0;0;0;0;0;0;1;0;0;0;93.74
55;8;22;30;1;1;1;0;0;1;1;0;0;27950;91.33
38;5;0;5;1;1;1;1;0;1;0;0;1;96000;87.15
70;6;3;9;1;1;1;1;0;1;0;0;0;230650;89.11
69;19;23;42;1;1;1;0;0;1;1;0;1;63700;91.13
63;29;0;29;1;1;1;0;0;1;1;0;0;94200;90.64
67;6;1;7;1;1;1;0;1;0;0;0;0;412938;86.88
69;24;0;24;1;1;0;1;0;1;1;0;0;0;86.43
48;3;0;3;1;1;1;0;1;0;1;0;0;106200;83.44
40;7;0;7;1;1;1;0;1;1;0;0;0;66000;68.65
51;18;1;19;0;0;0;1;0;0;0;0;1;23502.38;89.95
66;32;0;32;1;0;1;0;0;0;1;0;0;111884.32;90.64
41;1;5;6;1;1;1;1;0;1;0;0;0;60000;84.04
58;2;0;2;1;1;1;0;1;1;1;0;0;33600;79.67
63;0;14;14;0;0;0;0;0;0;0;0;0;0;94.65
72;0;11;11;1;1;1;0;1;0;0;0;0;380390;87.12
74;0;0;0;1;0;1;0;0;0;0;0;0;0;75.67
